,DATE,ID,Sedol,Ticker,Company Name,Sector,Industry Group,Country,Currency,IssuerId,WEIGHT,,
3399,2018-11-30,9KRRG25L84,BD0PJ08,COL,Inmobiliaria Colonial, SOCIMI, S.A.,60,6010,ES,50,C879264,0
3462,2018-11-30,9NJJO3GPRZ,7025471,EGL,Mota-Engil, SGPS, S.A.,20,2010,PT,50,C2919357,0
3503,2018-11-30,ZVVV283MPZ,5962934,SEM,Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.,15,1510,PT,50,C7234215,0
3630,2018-11-30,ZVVVKK0K1Z,5973992,SON,Sonae, SGPS, S.A.,30,3010,PT,50,C883119,0
3773,2018-11-30,92VVWDL039,4657736,COR,Corticeira Amorim, S.G.P.S., S.A.,15,1510,PT,50,C879790,0
3885,2018-11-30,9NJJ1E2D1Z,B0B9GS5,NOS,NOS, S.G.P.S., S.A.,50,5020,PT,50,C2313104,0
4038,2018-11-30,48RRG62VW9,B01FLQ6,ACS,ACS, Actividades de Construcción y Servicios, S.A.,20,2010,ES,50,C780678,0
4246,2018-11-30,4JEY3OYPEZ,B13ZSL5,ALTR,Altri, S.G.P.S., S.A.,15,1510,PT,50,C20783030,0.00119971872331545
4316,2018-11-30,ZWL8D1KWM9,B18S767,BME,Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A.,40,4020,ES,50,C22563601,0
4356,2018-11-30,Z562NQ31K9,B1FW751,GALP,Galp Energia, SGPS, S.A.,10,1010,PT,50,C874537,0
4591,2018-11-30,ZVVL661O3Z,B1Y1SQ7,JMT,Jerónimo Martins, SGPS, S.A.,30,3010,PT,50,C878246,0
4611,2018-11-30,4JE1LEO2YZ,B233HR5,RENE,REN - Redes Energéticas Nacionais, SGPS, S.A.,55,5510,PT,50,C5468837,0
4969,2018-12-31,9KRRG25L84,BD0PJ08,COL,Inmobiliaria Colonial, SOCIMI, S.A.,60,6010,ES,50,C879264,0.00363342494497137
5032,2018-12-31,9NJJO3GPRZ,7025471,EGL,Mota-Engil, SGPS, S.A.,20,2010,PT,50,C2919357,0
5073,2018-12-31,ZVVV283MPZ,5962934,SEM,Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.,15,1510,PT,50,C7234215,0
5200,2018-12-31,ZVVVKK0K1Z,5973992,SON,Sonae, SGPS, S.A.,30,3010,PT,50,C883119,0
5343,2018-12-31,92VVWDL039,4657736,COR,Corticeira Amorim, S.G.P.S., S.A.,15,1510,PT,50,C879790,0
5455,2018-12-31,9NJJ1E2D1Z,B0B9GS5,NOS,NOS, S.G.P.S., S.A.,50,5020,PT,50,C2313104,0.00125569871344051
5608,2018-12-31,48RRG62VW9,B01FLQ6,ACS,ACS, Actividades de Construcción y Servicios, S.A.,20,2010,ES,50,C780678,0
5816,2018-12-31,4JEY3OYPEZ,B13ZSL5,ALTR,Altri, S.G.P.S., S.A.,15,1510,PT,50,C20783030,0.00156808897593824
5886,2018-12-31,ZWL8D1KWM9,B18S767,BME,Bolsas y Mercados Españoles, Sociedad Holding de Mercados y Sistemas Financieros, S.A.,40,4020,ES,50,C22563601,0
5926,2018-12-31,Z562NQ31K9,B1FW751,GALP,Galp Energia, SGPS, S.A.,10,1010,PT,50,C874537,0
6161,2018-12-31,ZVVL661O3Z,B1Y1SQ7,JMT,Jerónimo Martins, SGPS, S.A.,30,3010,PT,50,C878246,0
6181,2018-12-31,4JE1LEO2YZ,B233HR5,RENE,REN - Redes Energéticas Nacionais, SGPS, S.A.,55,5510,PT,50,C5468837,0
